バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,0,1,0,0,0,---,FULLCOMBO CLEAR,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2017-12-29 17:46
3rd style,Holic,HARD TECHNO,TaQ,2,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,1574,697,180,0,FULLCOMBO CLEAR,AAA,2018-01-25 22:22
3rd style,R5,RAVE,tigerYAMATO with ultrabeatbox,8,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1681,806,69,3,EX HARD CLEAR,AAA,2018-05-26 23:01
3rd style,THE SAFARI,WORLD HOUSE,Lion Musashi,8,7,0,0,0,---,NO PLAY,---,10,1635,746,143,1,EX HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2018-05-08 19:13
4th style,DXY!,TECHNO,TaQ,13,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,1977,854,269,17,HARD CLEAR,AA,2018-07-18 21:23
4th style,KAMIKAZE,TECHNO,dj nagureo,1,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,2106,958,190,5,NO PLAY,AAA,2017-12-29 18:26
4th style,starmine,HAPPY HARDCORE,Ryu☆,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
4th style,SWEET LAB,LOUNGE HOUSE,DJ SIMON,0,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
5th style,V,PROGRESSIVE,TAKA,2,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2633,1169,295,10,EX HARD CLEAR,AA,2018-02-08 20:57
6th style,Colors (radio edit),TRANCE,dj TAKA,1,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2153,954,245,11,EX HARD CLEAR,AA,2018-04-25 20:56
7th style,Spica,HOUSE,D.JW,8,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1998,886,226,6,EX HARD CLEAR,AA,2018-08-07 19:47
7th style,stoic,TECHNO,TaQ,10,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2362,1063,236,2,FULLCOMBO CLEAR,AAA,2018-04-26 21:59
7th style,革命,ORCHESTRAL,dj TAKA with NAOKI,1,6,0,0,0,---,NO PLAY,---,10,1592,658,276,14,NO PLAY,AA,10,0,0,0,---,NO PLAY,---,2017-12-29 18:24
8th style,PLEASE DON'T GO,DISCO,ASLETICS,4,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,12,2173,964,245,15,EX HARD CLEAR,AA,2018-03-23 21:52
8th style,rainbow flyer,TRANCE,dj TAKA,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
8th style,xenon,ELECTROSHOCK,Mr.T,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
9th style,one or eight,HARDCORE RAVE,sampling masters AYA,3,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2012,859,294,10,EX HARD CLEAR,AA,2018-07-18 21:32
9th style,quasar,TRANCE,OutPhase,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
9th style,Quickening,PSYCHEDELIC,dj TAKA,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2017-12-29 17:46
10th style,Daisuke,EUROBEAT,Y&Co.,3,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2293,1091,111,3,FULLCOMBO CLEAR,AAA,2018-01-14 15:43
10th style,GRADIUS -FULL SPEED-,GAME MUSIC,Mr.T,1,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1680,729,222,49,FAILED,AA,2018-05-14 22:43
10th style,Innocent Walls,TECHNO,TaQ,3,8,0,0,0,---,NO PLAY,---,12,2169,921,327,8,EX HARD CLEAR,AA,12,2434,1025,384,11,EX HARD CLEAR,AA,2018-07-17 21:48
10th style,Love Is Eternity,TRANCE,kors k,2,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2199,1003,193,6,EX HARD CLEAR,AAA,2018-02-28 21:50
10th style,One More Lovely,HAPPY,Risk Junk,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2455,1105,245,---,HARD CLEAR,AA,2018-02-24 21:21
10th style,rainbow rainbow,HAPPY HARDCORE,Ryu☆,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
10th style,SPACE FIGHT,戦艦テクノ,AKIRA YAMAOKA,9,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2062,958,146,4,FULLCOMBO CLEAR,AAA,2018-04-25 21:39
10th style,雪月花,HARD HOUSE,Ryu☆,5,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2237,1011,215,26,EX HARD CLEAR,AA,2018-08-14 21:02
IIDX RED,AA,RENAISSANCE,D.J.Amuro,2,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3277,1481,315,10,FULLCOMBO CLEAR,AAA,2018-01-05 20:56
IIDX RED,ANDROMEDA,PSYCHEDELIC GOA TRANCE,Sota Fujimori,3,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2694,1266,162,4,EX HARD CLEAR,AAA,2018-04-12 22:04
IIDX RED,Be quiet,HARD DANCE,Ryu☆,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
IIDX RED,FAKE TIME,HARD ROCK,dj REMO-CON,12,5,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,1973,940,93,---,FAILED,AA,2018-08-23 21:20
